Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message
40.97706425,,,,1066.04791,-0.00078125,-0.048144531,-0.958300781,-0.030943417,0.020972252,0,-0.042475269,49.05154261,0,0,0,0,0,0,-0.039342389,-0.249923699,0.020972252,0.064453125,-0.042921043,0,1,1,0.1,0,0,0,0,
41.54323825,,,,1070.7542,0,-0.0484375,-0.958984375,-0.030979091,0.021010117,0,-0.043078486,48.66450568,0,0,0,0,0,0,-0.039011911,-0.249836,0.021010117,0.064453125,-0.042972457,0,1,1,0.05,0,0,0,0,
42.13702325,,,,1075.705213,0,-0.047558594,-0.958496094,-0.031006215,0.020929657,0,-0.043424153,49.4,0,0,0,0,0,0,-0.038982195,-0.249990871,0.020929657,0.064355469,-0.043005019,0,1,1,0,0,0,0,0,
42.67629525,,,,1080.221371,0,-0.047460938,-0.958789063,-0.030982436,0.02090787,0,-0.043968575,49.65790057,0,0,0,0,0,0,-0.039281361,-0.25012821,0.02090787,0.064257813,-0.043149411,0,1,1,0.05,0,0,0,0,
43.22494825,,,,1084.783017,-0.000585938,-0.046289063,-0.959082031,-0.030940372,0.021109755,0,-0.042356681,49.9,0,0,0,0,0,0,-0.039346711,-0.249907303,0.021109755,0.064160156,-0.043105583,0,1,1,0.05,0,0,0,0,
43.757749,,,,1089.232438,0,-0.04765625,-0.958886719,-0.030842525,0.021150901,0,-0.043423364,48.82927841,0,0,0,0,0,0,-0.039831517,-0.24972622,0.021150901,0.064355469,-0.043078066,0,1,1,0.1,0,0,0,0,
44.27929775,,,,1093.576633,0,-0.048339844,-0.960546875,-0.03089984,0.020883754,0,-0.044132793,49.62616193,0,0,0,0,0,0,-0.039691971,-0.24997673,0.020883754,0.064453125,-0.043266554,0,1,1,0.05,0,0,0,0,
44.8157285,,,,1098.038644,0,-0.048144531,-0.958789063,-0.030977826,0.021092277,0,-0.042690173,48.1,0,0,0,0,0,0,-0.039306199,-0.250121682,0.021092277,0.064453125,-0.04314049,0,1,1,0.05,0,0,0,0,
45.35218975,,,,1102.520344,0,-0.047949219,-0.96015625,-0.03095589,0.0210062,0,-0.043952176,49.46579261,0,0,0,0,0,0,-0.039249133,-0.249915328,0.0210062,0.064453125,-0.043331906,0,1,1,0.1,0,0,0,0,
45.874764,,,,1106.869138,0,-0.04765625,-0.958007813,-0.030868775,0.020889724,0,-0.04467534,47.94793182,0,0,0,0,0,0,-0.039530396,-0.249603747,0.020889724,0.064453125,-0.04344907,0,1,1,0.1,0,0,0,0,
46.43891,,,,1111.55789,0,-0.04765625,-0.960058594,-0.030953812,0.020804369,0,-0.044156699,48.90210227,0,0,0,0,0,0,-0.039203525,-0.249855578,0.020804369,0.063378906,-0.043663641,0,1,1,0,0,0,0,0,
46.9941815,,,,1116.189913,-0.000585938,-0.048144531,-0.958105469,-0.030930583,0.020937806,0,-0.043123532,49.97521023,0,0,0,0,0,0,-0.039173141,-0.249667117,0.020937806,0.064453125,-0.043527185,0,1,1,0,0,0,0,0,
47.5279455,,,,1120.660727,0,-0.048535156,-0.959375,-0.030920123,0.021231167,0,-0.043758972,48.51942045,0,0,0,0,0,0,-0.039134738,-0.249557525,0.021231167,0.064355469,-0.043601634,0,1,1,0.1,0,0,0,0,
48.0323485,,,,1124.851254,0,-0.046972656,-0.959765625,-0.030973634,0.021181849,0,-0.043302497,49.93321307,0,0,0,0,0,0,-0.039211336,-0.249998287,0.021181849,0.064453125,-0.043504911,0,1,1,0,0,0,0,0,
48.56821425,,,,1129.311454,0,-0.048242188,-0.957910156,-0.030914741,0.02105549,0,-0.043528848,48.2,0,0,0,0,0,0,-0.039539167,-0.249925329,0.02105549,0.064355469,-0.043598041,0,1,1,0.1,0,0,0,0,
49.1265845,,,,1133.95005,-0.000195313,-0.046875,-0.959472656,-0.030937307,0.020722767,0,-0.04250412,48.74160511,0,0,0,0,0,0,-0.03913718,-0.249676913,0.020722767,0.064160156,-0.043355376,0,1,1,0.05,0,0,0,0,
49.68112675,,,,1138.601758,0,-0.04765625,-0.958007813,-0.030995343,0.020204474,0,-0.042521923,48.16261222,0,0,0,0,0,0,-0.0387709,-0.249705588,0.020204474,0.063964844,-0.043286975,0,1,1,0,0,0,0,0,
50.206105,,,,1142.95869,0,-0.048046875,-0.957519531,-0.031033273,0.021034215,0,-0.043036382,48.53803977,0,0,0,0,0,0,-0.03900326,-0.250196075,0.021034215,0.06328125,-0.043259914,0,1,1,0.05,0,0,0,0,
50.7474705,,,,1147.477183,0,-0.047558594,-0.958398438,-0.03091901,0.020785045,0,-0.042166799,48.73790057,0,0,0,0,0,0,-0.039525063,-0.24994028,0.020785045,0.063671875,-0.043086087,0,1,1,0.05,0,0,0,0,
51.2840305,,,,1151.951906,0,-0.04765625,-0.957421875,-0.030935459,0.020875646,0,-0.042872379,49.2596108,0,0,0,0,0,0,-0.039598761,-0.250125917,0.020875646,0.062695313,-0.043040532,0,1,1,0.05,0,0,0,0,
51.778496,,,,1156.086133,0,-0.048046875,-0.959472656,-0.031088432,0.021347057,0,-0.041930174,50.2,0,0,0,0,0,0,-0.038734255,-0.250302449,0.021347057,0.062695313,-0.042888059,0,1,1,0.05,0,0,0,0,
52.3082825,,,,1160.479223,0,-0.047949219,-0.957617188,-0.031046282,0.020544241,0,-0.044667937,49.34464489,0,0,0,0,0,0,-0.038587636,-0.249868983,0.020544241,0.062597656,-0.043117838,0,1,1,0.05,0,0,0,0,
52.82696775,,,,1164.798592,0,-0.047363281,-0.958300781,-0.031050986,0.020909835,0,-0.042558064,49.4064517,0,0,0,0,0,0,-0.038954263,-0.250267622,0.020909835,0.0625,-0.043147827,0,1,1,0.05,0,0,0,0,
53.376272,,,,1169.383992,0,-0.046972656,-0.958105469,-0.031036953,0.021061978,0,-0.043221054,47.9,0,0,0,0,0,0,-0.038845573,-0.250063435,0.021061978,0.062695313,-0.043005576,0,1,1,0.05,0,0,0,0,
53.8957925,,,,1173.716481,0,-0.047265625,-0.95859375,-0.030993064,0.021174325,0,-0.042697125,47.8,0,0,0,0,0,0,-0.038875274,-0.249794456,0.021174325,0.0625,-0.043055183,0,1,1,0.15,0,0,0,0,
54.4333775,,,,1178.192742,0,-0.048046875,-0.960449219,-0.030982395,0.020965664,0,-0.043068553,47.5,0,0,0,0,0,0,-0.039178525,-0.250025099,0.020965664,0.06328125,-0.042986769,0,1,1,0.05,0,0,0,0,
54.9498045,,,,1182.496131,-0.000585938,-0.046582031,-0.958300781,-0.030995781,0.021082062,0,-0.04428138,47.65919318,0,0,0,0,0,0,-0.039112583,-0.250050249,0.021082062,0.064355469,-0.043176364,0,1,1,0.1,0,0,0,0,
55.481963,,,,1186.938852,-0.000292969,-0.047265625,-0.960351563,-0.030972696,0.020739744,0,-0.042016109,48.97685227,0,0,0,0,0,0,-0.03911688,-0.249897446,0.020739744,0.064453125,-0.043075324,0,1,1,0,0,0,0,0,
55.97529675,,,,1191.04364,0,-0.048144531,-0.956835938,-0.030905534,0.020695002,0,-0.043526608,47.2195767,0,0,0,0,0,0,-0.039455719,-0.249779226,0.020695002,0.064453125,-0.043079626,0,1,1,0.15,0,0,0,0,
56.52724025,,,,1195.635873,0,-0.048339844,-0.960058594,-0.03087907,0.020931749,0,-0.042693146,48.21000568,0,0,0,0,0,0,-0.039579909,-0.249723319,0.020931749,0.0640625,-0.043047338,0,1,1,0.1,0,0,0,0,
